id,move,x,y
1,-3,291179.9923,2729968.662
2,-5,291181.912,2729968.725
3,-1,291184.0772,2729968.732
4,-20,291185.3763,2729968.735
5,-15,291186.2423,2729968.738
6,-50,291193.6038,2729968.76
7,-7,291186.2718,2729958.786
8,-20,291194.0664,2729958.809
9,-5,291196.2315,2729958.815
10,-3,291206.1912,2729958.845
11,-4,291209.6555,2729958.855
13,-9,291198.4234,2729949.818
14,-11,291200.1555,2729949.823
15,-20,291202.7537,2729949.83
16,-15,291205.7849,2729949.839
17,-16,291208.8161,2729949.848
18,-5,291209.6822,2729949.851
19,-7,291241.8207,2729918.194
20,-10,291199.3808,2729919.016
21,-12,291201.546,2729919.022
